,vin,km
0,MB1CTCHD2JPGC2824,135462.0
1,MB1CTCHD5JPBE1725,93547.0
2,MB1CTCHD7JAXJ5875,88439.0
3,MB1KACHD0JPCD8414,70580.3
4,MB1KACHD1JPCD8535,96355.0
5,MB1KACHD1JPFC7222,60523.9
6,MB1KACHD2JEAB6825,18190.5
7,MB1KACHD3JAGH6461,53212.0
8,MB1KACHD3JEFA4536,22496.4
9,MB1KACHD3JPGC1778,12084.1
10,MB1KACHD3KPHH2993,24685.6
11,MB1KACHD4JPYF4291,52922.4
12,MB1KACHD5JPED1481,64567.5
13,MB1KACHD5JPWG5083,55205.7
14,MB1KACHD5JPXF9416,44704.9
15,MB1KACHD5JRXZ8094,45057.4
16,MB1KACHD6JAXJ6176,17985.9
17,MB1KACHD6JEDA7439,20385.9
18,MB1KACHD6JEFA3607,151923.4
19,MB1KACHD6JPHB6044,84049.1
20,MB1KACHD6KPHH2843,11380.6
21,MB1KACHD7JAYJ5086,4127.5
22,MB1KACHD7JPCD9138,35196.2
23,MB1KACHD7KPJG5203,14395.9
24,MB1KACHD7KPJG5914,14795.9
25,MB1KACHD7KPJG9140,13340.9
26,MB1KACHD7KRJA3563,40992.4
27,MB1KACHDXKEHD0431,44050.0
28,MB1KAKHD9JPEC9937,59502.3
29,MB1NACHD1JPHB4618,78215.4
30,MB1NACHD3JPHB6967,76918.6
31,MB1NACHD3JRHV9259,102687.9
32,MB1NACHD5JAHH4551,100532.5
33,MB1NACHD5JPHB4220,155757.3
34,MB1NACHD8JAFH7129,70681.6
35,MB1NACHD9JPHB6441,131806.3
36,MB1NACHDXJRHV9694,139461.4
37,MB1TLDHD9JPHB5149,66303.0
38,MB1TLKHD9KPHH5552,39658.8
39,MB1TRCHD0JREX1473,45537.7
40,MB1TRKHD0JPCD9599,68905.1
41,MB1TRKHD0JPCD9683,30411.6
42,MB1TRKHD1JPXF5712,38968.4
43,MB1TRKHD2JPED0974,50578.9
44,MB1TRKHD3JPXF8501,31627.6
45,MB1TRKHD3JPYF3706,37397.5
46,MB1TRKHD4JPAE8428,45508.5
47,MB1TRKHD4JPDD5817,64111.5
48,MB1TRKHD4JRYZ3852,33644.1
49,MB1TRKHD6JPDD4958,59048.5
50,MB1TRKHD7JPCD9681,58209.6
51,MB1TRKHD7JPYF1571,57636.9
52,MB1TRKHDXJPCD8878,49131.0
53,MB1UPDHD0JPYF1160,82840.0
54,MB1UPKHD1JPYF2094,126590.8
55,MB1UPKHD3JPDD3521,72298.3
56,MB1UPKHD6JPAE5993,49355.5
57,MB1UPKHD9JPBE3299,42652.8
58,MB1UPKHD9JPDD7217,85384.4
59,MB1UPKHDXJPXF7789,37017.9
